61,,,,,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted",,,,,,,,,,,,,,,,,,,,,,,,,,,
6101,,,,,"- Men's or boys' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), and similar articles, knitted or crocheted, other than those of heading 6103:",,,,6101.20.0000,,,,,- - Of cotton,,Doz.,kg,,,,,,,,,,items name ,gender ,processing ,type of fibre,,hs codes
,,,,,,,,,6101.30.0000,,,,,- - Of manmade fibers,,Doz.,kg,,,,,,,,,,"overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets)",men's or boy's,Knitted or Crocheted,- - Of cotton,,6101.20.0000
,,,,,,,,,6101.90,,,,,- - Of other textile materials:,,,,,,,,,,,,,,,,- - Of manmade fibers,,6101.30.0000
,,,,,,,,,6101.90.0500,,,,,- - - Of wool or fine animal hair,,Doz.,kg,,,,,,,,,,,,,- - Of other textile materials:,,6101.90
,,,,,,,,,6101.90.9000,,,,,- - - Other,,Doz.,kg,,,,,,,,,,,,,- - - Of wool or fine animal hair,,6101.90.0500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Other,,6101.90.9000
6102,,,,,"- Women's or girls' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), and similar articles, knitted or crocheted,
other than those of heading 6104:",,,,6102.10.0000,,,,,- - Of wool or fine animal hair,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6102.20.0000,,,,,- - Of cotton,,Doz.,kg,,,,,,,,,,"overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets)",Women's or girls,Knitted or Crocheted,- - Of wool or fine animal hair,,6102.10.0000
,,,,,,,,,6102.30.0000,,,,,- - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,- - Of cotton,,6102.20.0000
,,,,,,,,,6102.90.0000,,,,,- - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,- - Of manmade fibers,,6102.30.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - Of other textile materials,,6102.90.0000
6103,,,,,"- Men's or boys' suits, ensembles, suit-type jackets, blazers, trousers,
bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted:",,,6103.10,,,,,- - Suits:,,6103.10.1000,,,,,- - - Of wool or fine animal hair,,No.,kg,,,,,,,,,
,,,,,,,,,,,,,,,6103.10.2500,,,,,- - - Of synthetic fibers,,No.,kg,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials:,,,,,,,Suits,men's or boy's,Knitted or Crocheted,- - - Of wool or fine animal hair,,6103.10.1000
,,,,,,,,,,,,,,,6103.10.4500,,,,,- - - - Of artificial fibers,,No.,kg,,,,,,,- - - Of synthetic fibers,,6103.10.2500
,,,,,,,,,,,,,,,6103.10.6000,,,,,- - - - Of cotton,,Doz.,kg,,,,,,,- - - Of other textile materials:,,
,,,,,,,,,,,,,,,6103.10.8000,,,,,- - - - Other,,No.,kg,,,,,,,- - - - Of artificial fibers,,6103.10.4500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - - Of cotton,,6103.10.6000
,,,,,,,,,,,,,- - Ensembles:,,6103.22.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,- - - - Other,,6103.10.8000
,,,,,,,,,,,,,,,6103.23.0000,,,,,- - - Of synthetic fibers,,Doz.,kg,,,,,,,,,
,,,,,,,,,,,,,,,6103.29,,,,,- - - Of other textile materials:,,,,,,,,,,,,
