a,b,,,
61,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted",,,
6101,"- Men's or boys' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), and similar articles, knitted or crocheted, other than those of heading 6103:",,,
6101200000,- - Of cotton,,Doz,kg
6101300000,- - Of manmade fibers,,Doz,kg
610190,- - Of other textile materials:,,,
6101900500,- - - Of wool or fine animal hair,,Doz,kg
6101909000,- - - Other,,Doz,kg
6102,"- Women's or girls' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), and similar articles, knitted or crocheted,
other than those of heading 6104:",,,
6102100000,- - Of wool or fine animal hair,,Doz,kg
6102200000,- - Of cotton,,Doz,kg
6102300000,- - Of manmade fibers,,Doz,kg
6102900000,- - Of other textile materials,,Doz,kg
6103,"- Men's or boys' suits, ensembles, suit-type jackets, blazers, trousers,
bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted:",,,
610310,- - Suits:,,,
6103101000,- - - Of wool or fine animal hair,,No,kg
6103102500,- - - Of synthetic fibers,,No,kg
,- - - Of other textile materials:,,,
6103104500,- - - - Of artificial fibers,,No,kg
6103106000,- - - - Of cotton,,Doz,kg
6103108000,- - - - Other,,No,kg
,- - Ensembles:,,,
6103220000,- - - Of cotton,,Doz,kg
6103230000,- - - Of synthetic fibers,,Doz,kg
610329,- - - Of other textile materials:,,,
6103290500,- - - - Of wool or fine animal hair,,Doz,kg
6103291000,- - - - Of artificial fibers,,Doz,kg
6103292000,- - - - Other,,Doz,kg
,- - Suit-type jackets and blazers:,,,
6103310000,- - - Of wool or fine animal hair,,Doz,kg
6103320000,- - - Of cotton,,Doz,kg
6103330000,- - - Of synthetic fibers,,Doz,kg
610339,- - - Of other textile materials:,,,
6103391000,- - - - Of artificial fibers,,Doz,kg
6103392000,- - - - Other,,Doz,kg
"- - Trousers, bib and brace overalls, breeches and shorts:"
6103410000,- - - Of wool or fine animal hair,,Doz,kg
6103420000,- - - Of cotton,,Doz,kg
6103430000,- - - Of synthetic fibers,,Doz,kg


610349,- - - Of other textile materials:,,,
6103491500,- - - - Of artificial fibers,,Doz,kg
6103493000,- - - - Other,,Doz,kg
6104,"- Women's or girls' suits, ensembles, suit-type jackets, blazers,
dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear) knitted or crocheted:",,,
,- - Suits:,,,
6104130000,- - - Of synthetic fibers,,No,kg
610419,- - - Of other textile materials:,,,
6104191200,- - - - Of artificial fibers,,No,kg
6104195000,- - - - Of wool or fine animal hair,,No,kg
6104196000,- - - - Of cotton,,Doz,kg
6104199000,- - - - Other,,No,kg
,- - Ensembles:,,,
6104220000,- - - Of cotton,,Doz,kg
6104230000,- - - Of synthetic fibers,,Doz,kg
610429,- - - Of other textile materials:,,,
6104290500,- - - - Of wool or fine animal hair,,Doz,kg
6104291000,- - - - Of artificial fibers,,Doz,kg
6104292000,- - - - Other,,Doz,kg
,- - Suit-type jackets and blazers:,,,
6104310000,- - - Of wool or fine animal hair,,Doz,kg
6104320000,- - - Of cotton,,Doz,kg
6104330000,- - - Of synthetic fibers,,Doz,kg
610439,- - - Of other textile materials:,,,
6104391000,- - - - Of artificial fibers,,Doz,kg
6104392000,- - - - Other,,Doz,kg
,- - Dresses:,,,
6104410000,- - - Of wool or fine animal hair,,Doz,kg
6104420000,- - - Of cotton,,Doz,kg
6104430000,- - - Of synthetic fibers,,Doz,kg
6104440000,- - - Of artificial fibers,,Doz,kg
6104490000,- - - Of other textile materials,,Doz,kg
,- - Skirts and divided skirts:,,,
6104510000,- - - Of wool or fine animal hair,,Doz,kg
6104520000,- - - Of cotton,,Doz,kg
6104530000,- - - Of synthetic fibers,,Doz,kg
610459,- - - Of other textile materials:,,,
6104591000,- - - - Of artificial fibers,,Doz,kg
6104592000,- - - - Other,,Doz,kg
"- - Trousers, bib and brace overalls, breeches and shorts:"
6104610000,- - - Of wool or fine animal hair,,Doz,kg
6104620000,- - - Of cotton,,Doz,kg
6104630000,- - - Of synthetic fibers,,Doz,kg
"Schedule B No
and Headings",Commodity Description,,"Unit of
Quantity","Second
Quantity"

610469,- - - Of other textile materials:,,,
6104691500,- - - - Of artificial fibers,,Doz,kg
6104693000,- - - - Other,,Doz,kg
6105,"- Men's or boys' shirts, knitted or crocheted:",,,
6105100000,- - Of cotton,,Doz,kg
6105200000,- - Of manmade fibers,,Doz,kg
6105900000,- - Of other textile materials,,Doz,kg
6106,"- Women's or girls' blouses and shirts, knitted or crocheted:",,,
6106100000,- - Of cotton,,Doz,kg
6106200000,- - Of manmade fibers,,Doz,kg
6106900000,- - Of other textile materials,,Doz,kg
6107,"- Men's or boys' underpants, briefs, nightshirts, pajamas, bathrobes,
dressing gowns and similar articles, knitted or crocheted:",,,
,- - Underpants and briefs:,,,
6107110000,- - - Of cotton,,Doz,kg
6107120000,- - - Of manmade fibers,,Doz,kg
6107190000,- - - Of other textile materials,,Doz,kg
,- - Nightshirts and pajamas:,,,
6107210000,- - - Of cotton,,Doz,kg
6107220000,- - - Of manmade fibers,,Doz,kg
6107290000,- - - Of other textile materials,,Doz,kg
,- - Other:,,,
6107910000,- - - Of cotton,,Doz,kg
610799,- - - Of other textile materials:,,,
6107991000,- - - - Of manmade fibers,,Doz,kg
6107998000,- - - - Other,,Doz,kg
6108,"- Women's or girls' slips, petticoats, briefs, panties, nightdresses, pajamas, negligees, bathrobes, dressing gowns and similar articles,
knitted or crocheted:",,,
,- - Slips and petticoats:,,,
6108110000,- - - Of manmade fibers,,Doz,kg
6108190000,- - - Of other textile materials,,Doz,kg
,- - Briefs and panties:,,,
6108210000,- - - Of cotton,,Doz,kg
6108220000,- - - Of manmade fibers,,Doz,kg
6108290000,- - - Of other textile materials,,Doz,kg
,- - Nightdresses and pajamas:,,,
6108310000,- - - Of cotton,,Doz,kg
6108320000,- - - Of manmade fibers,,Doz,kg
6108390000,- - - Of other textile materials,,Doz,kg
,- - Other:,,,
6108910000,- - - Of cotton,,Doz,kg
6108920000,- - - Of manmade fibers,,Doz,kg
6108990000,- - - Of other textile materials,,Doz,kg
"Schedule B No
and Headings",Commodity Description,,"Unit of
Quantity","Second
Quantity"

6109,"- T-shirts, singlets, tank tops and similar garments, knitted or
crocheted:",,,
610910,- - Of cotton:,,,
,- - - Men's or boys':,,,
6109100004,"- - - - T-shirts, all white, short hemmed sleeves,hemmed bottom,
crew or round neckline, or V-neck, with a mitered seam at the center of the V, without pockets, trim or embroidery",,,
,,,Doz,kg
6109100007,"- - - - Singlets, all white, without pockets, trim or embroidery",,Doz,kg
6109100011,- - - - Thermal undershirts,,Doz,kg
6109100013,- - - - Other T-shirts,,Doz,kg
6109100024,- - - - Tank tops and other singlets,,Doz,kg
6109100027,- - - - Other,,Doz,kg
,- - - Women's or girls':,,,
6109100037,- - - - Underwear,,Doz,kg
,- - - - Other:,,,
6109100042,- - - - - T-shirts,,Doz,kg
6109100062,- - - - - Tank tops,,Doz,kg
6109100070,- - - - - Other,,Doz,kg
610990,- - Of other textile materials:,,,
,- - - Of manmade fibers:,,,
,- - - - Men's or boys':,,,
6109901008,- - - - - T-shirts,,Doz,kg
6109901018,- - - - - Tank tops and singlets,,Doz,kg
6109901047,- - - - - Thermal undershirts,,Doz,kg
6109901049,- - - - - Other,,Doz,kg
,- - - - Women's or girls':,,,
6109901055,- - - - - T-shirts,,Doz,kg
6109901068,- - - - - Tank tops and singlets,,Doz,kg
6109901075,- - - - - Thermal undershirts,,Doz,kg
6109901090,- - - - - Other,,Doz,kg
,"- - - Of wool, with long sleeves:",,,
,- - - - Underwear:,,,
6109901510,- - - - - Men's or boys',,Doz,kg
6109901530,- - - - - Women's or girls',,Doz,kg
6109901550,- - - - Other,,Doz,kg
,- - - Other:,,,
6109902012,- - - - Men's or boys',,Doz,kg
6109902025,- - - - Women's or girls',,Doz,kg
6110,"- Sweaters, pullovers, sweatshirts, waistcoats (vests), and similar
articles knitted or crocheted:",,,
,- - Of wool or fine animal hair:,,,
611011,- - - Of wool:,,,
6110110010,- - - - Men's or boys',,Doz,kg
6110110020,- - - - Women's or girls',,Doz,kg
611012,- - - Of Kashmir (cashmere) goats:,,,
"Schedule B No
and Headings",Commodity Description,,"Unit of
Quantity","Second
Quantity"

6110120010,- - - - Men's or boys',,Doz,kg
6110120020,- - - - Women's or girls',,Doz,kg
611019,- - - Other:,,,
6110190010,- - - - Men's or boys',,Doz,kg
6110190020,- - - - Women's or girls',,Doz,kg
611020,- - Of cotton:,,,
,- - - Containing 36 percent or more by weight of flax fibers:,,,
,- - - - Sweaters:,,,
6110201010,- - - - - Men's or boys',,Doz,kg
6110201020,- - - - - Women's or girls',,Doz,kg
,- - - - Other:,,,
6110201023,- - - - - Men's or boys',,Doz,kg
6110201027,- - - - - Women's or girls',,Doz,kg
,- - - Other:,,,
6110202005,- - - - Boys' or girls' garments exported as parts of playsuits,,Doz,kg
,- - - - Other:,,,
,- - - - - Sweaters:,,,
