hscodes,descriptions
6201,"- Men’s or boys’ overcoats, carcoats, capes, cloaks, anoraks (including ski jackets), windbreakers and similar articles (including padded, sleeveless jackets), other than those of heading 6203:"
6202,"- Women's or girls’ overcoats, carcoats, capes, cloaks, anoraks (including ski jackets), windbreakers and similar articles (including padded, sleeveless jackets), other than those of heading 6203:"
6203,"- Men's or boys' suits, ensembles, suit-type jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear):"
6204,"- Women's or girls' suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches, and shorts (other than swimwear):"
6205,- Men's or boys' shirts:
6206,"- Women's or girls' blouses, shirts and shirt-blouses:"
6207,"- Men's or boys' singlets and other undershirts, underpants, briefs, nightshirts, pajamas, bathrobes, dressing gowns and similar articles:"
6208,"- Women's or girls' singlets and other undershirts, slips, petticoats, briefs, panties, nightdresses, pajamas, negligees, bathrobes, dressing gowns and similar articles:"
6209,- Babies' garments and clothing accessories:
6210,"- Garments, made-up of fabrics of heading 5602, 5603, 5903, 5906 or 5907:"
6211,"- Track suits, ski-suits and swimwear; other garments:"
6212,"- Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted:"
6213,- Handkerchiefs:
6214,"- Shawls, scarves, mufflers, mantillas, veils and the like:"
6215,"- Ties, bow ties and cravats:"
6216,"- Gloves, mittens and mitts:"
6217,"- Other made-up clothing accessories; parts of garments or of clothing accessories, other than those of heading 6212:"
