hscodes,descriptions
6101,"- Men's or boys' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), and similar articles, knitted or crocheted, other than those of heading 6103:"
6102,"- Women's or girls' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), and similar articles, knitted or crocheted, other than those of heading 6104:"
6103,"- Men's or boys' suits, ensembles, suit-type jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted:"
6104,"- Women's or girls' suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear) knitted or crocheted:"
6105,"- Men's or boys' shirts, knitted or crocheted:"
6106,"- Women's or girls' blouses and shirts, knitted or crocheted:"
6107,"- Men's or boys' underpants, briefs, nightshirts, pajamas, bathrobes, dressing gowns and similar articles, knitted or crocheted:"
6108,"- Women's or girls' slips, petticoats, briefs, panties, nightdresses, pajamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted:"
6109,"- T-shirts, singlets, tank tops and similar garments, knitted or crocheted:"
6110,"- Sweaters, pullovers, sweatshirts, waistcoats (vests), and similar articles knitted or crocheted:"
6111,"- Babies' garments and clothing accessories, knitted or crocheted:"
6112,"- Track suits, ski-suits and swimwear, knitted or crocheted:"
6113,"- Garments, made up of knitted or crocheted fabrics of heading 5903, 5907 or 5908. - - Having an outer surface impregnated, coated, covered, or laminated with rubber or plastic material which completely obscures the underlying fabric:"
6114,"- Other garments, knitted or crocheted:"
6115,"- Panty hose, tights, stockings, socks and other hosiery, including"
6116,"- Gloves, mittens and mitts, knitted or crocheted:"
6117,"- Other made-up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories:"
