hscodes,descriptions
620120,- - Of wool or fine animal hair:
620130,- - Of cotton:
620140,- - Of man-made fibers:
620190,- - Of other textile materials:
620220,- - Of wool or fine animal hair:
620230,- - Of cotton:
620240,- - Of man-made fibers:
620290,- - Of other textile materials:
620311,- - - Of wool or fine animal hair
620312,- - - Of synthetic fibers
620319,- - - Of other textile materials
620322,- - - Of cotton
620323,- - - Of synthetic fibers
620329,- - - Of other textile materials:
620331,- - - Of wool or fine animal hair
620332,- - - Of cotton
620333,- - - Of synthetic fibers
620339,- - - Of other textile materials:
620341,- - - Of wool or fine animal hair
620342,- - - Of cotton:
620343,- - - Of synthetic fibers:
620349,- - - Of other textile materials:
620411,- - - Of wool or fine animal hair
620412,- - - Of cotton
620413,- - - Of synthetic fibers
620419,- - - Of other textile materials:
620421,- - - Of wool or fine animal hair
620422,- - - Of cotton
620423,- - - Of synthetic fibers
620429,- - - Of other textile materials:
620431,- - - Of wool or fine animal hair
620432,- - - Of cotton
620433,- - - Of synthetic fibers
620439,- - - Of other textile materials:
620441,- - - Of wool or fine animal hair
620442,- - - Of cotton
620443,- - - Of synthetic fibers
620444,- - - Of artificial fibers
620449,- - - Of other textile materials
620451,- - - Of wool or fine animal hair
620452,- - - Of cotton
620453,- - - Of synthetic fibers
620459,- - - Of other textile materials:
620461,- - - Of wool or fine animal hair
620462,- - - Of cotton:
620463,- - - Of synthetic fibers:
620469,- - - Of other textile materials:
620520,- - Of cotton:
620530,- - Of man-made fibers:
620590,- - Of other textile materials:
620610,- - Of silk or silk waste
620620,- - Of wool or fine animal hair
620630,- - Of cotton
620640,- - Of man-made fibers
620690,- - Of other textile materials
620711,- - - Of cotton
620719,- - - Of other textile materials
620721,- - - Of cotton
620722,- - - Of man-made fibers
620729,- - - Of other textile materials
620791,- - - Of cotton:
620799,- - - Of other textile materials:
620811,- - - Of man-made fibers
620819,- - - Of other textile materials
620821,- - - Of cotton
620822,- - - Of man-made fibers
620829,- - - Of other textile materials
620891,- - - Of cotton:
620892,- - - Of man-made fibers:
620899,- - - Of other textile materials:
620920,- - Of cotton
620930,- - Of synthetic fibers
620990,- - Of other textile materials:
621010,- - Of fabrics of heading 5602 or 5603 (including non-woven apparel)
621020,"- - Other garments, of the type described in heading 6201"
621030,"- - Other garments, of the type described in heading 6202"
621040,- - Other men's or boys' garments:
621050,- - Other women's or girls' garments:
621111,- - - Men's or boys'
621112,- - - Women's or girls'
621120,- - Ski-suits:
621132,- - - Of cotton
621133,- - - Of man-made fibers
621139,- - - Of other textile materials:
621142,- - - Of cotton
621143,- - - Of man-made fibers
621149,- - - Of other textile materials:
621210,- - Brassieres:
621220,- - Girdles and panty girdles:
621230,- - Corsets
621290,- - Other
621320,- - Of cotton
621390,- - Of other textile materials:
621410,- - Of silk or silk waste
621420,- - Of wool or fine animal hair
621430,- - Of synthetic fibers
621440,- - Of artificial fibers
621490,- - Of other textile materials:
621510,- - Of silk or silk waste
621520,- - Of man-made fibers
621590,- - Of other textile materials
621600,"- Gloves, mittens and mitts:"
621710,- - Accessories
621790,- - Parts
